name;company;experience level;technology;nice to have;location;category;salary_low;salary_high;salary_currency;salary
Senior Data Scientist;hubQuest;Senior;['AI', 'Python', 'Machine Learning', 'Data science', 'Statistics', 'scikit-learn', 'pandas', 'Matplotlib', 'SciPy', 'Angielski (C1)'];['Docker', 'Kubernetes', 'Azure'];Praca zdalna;data scientist;28500;37000;PLN;
Data Scientist (Marketing Mix Modeling);Lingaro;Senior;['Data', 'Python', 'Machnine Learning', 'SQL', 'Machine learning', 'Requirements gathering', 'Angielski (C1)'];['Scala', 'Big Data', 'Forecasting'];Praca zdalna;data scientist;15120;25200;PLN;
Data Scientist;Connectis_;Mid;['Data', 'Python', '4GL', 'SQL', 'Machine learning', 'Polski (NATIVE)'];['MLOps'];Warszawa;data scientist;18000;23000;PLN;
Senior Data Scientist;Devire;Senior;['Data', 'Data modelling', 'Use cases', 'Python', 'Azure', 'Communication skills', 'Power BI', 'Polski', 'Angielski'];Brak;Praca zdalna;data scientist;;;;Brak widełki
Senior Data Scientist (NLP and LLMs);Brainly Sp. z o.o.;Senior;['AI', 'Python', 'NLP', 'Deep learning', 'transformers', 'AWS', 'Angielski'];['LLMs'];Praca zdalna;data scientist;26000;35000;PLN;
Data Scientist;Shelf;Senior;['Data', 'AI', 'Data analytics', 'NLP', 'Python', 'SQL', 'NoSQL', 'TensorFlow', 'PyTorch', 'PhD', 'Machine learning', 'Machine Learning', 'GitHub', 'Angielski (B2)'];['Degree', 'Amazon ML Services', 'autonomous agents development'];Praca zdalna;data scientist;23748;31664;PLN;
AVP, Financial Engineering (AI & Data Science);HSBC Technology Poland;Senior;['AI', 'Data science', 'data preparation', 'Large Language Models', 'Python', 'Object-oriented programming', 'User interface', 'GitHub', 'Agile', 'Source control', 'branching concepts', 'Angielski (C1)'];['UI coding', 'Node.js', 'React', 'Angular', 'Project management'];Kraków;data scientist;;;;Brak widełki
Data Engineer - Data Science Hub;Allegro;Mid;['Data', 'SQL', 'Python', 'DevOps', 'CI/CD', 'REST API', 'Angielski (B2)', 'Polski (B2)'];['GitHub', 'Apache Airflow', 'Communication skills', 'Spark', 'Google cloud platform', 'Keboola'];Warszawa;data scientist;14200;19690;PLN;
Data Science;SquareOne;Mid;['Data', 'Python', 'OpenAI', 'Polski', 'Angielski'];Brak;Praca zdalna;data scientist;16800;21840;PLN;
Mid Data Engineer;Alterdata.io sp. z o.o.;Mid;['Data', 'SQL', 'Python', 'Problem solving', 'Git', 'Communication skills', 'Data Engineering', 'Polski (NATIVE)', 'Angielski (B2)'];['Azure', 'AWS', 'Google Cloud Platform', 'Airflow', 'Spark', 'Snowflake', 'DBT', 'BigQuery', 'Azure Data Factory', 'ETL', 'Databricks'];Praca zdalna;data engineer;14000;21000;PLN;
Mid Data Engineer / Python Developer;Alterdata.io sp. z o.o.;Mid;['Data', 'Python', 'SQL', 'Problem solving', 'Git', 'Communication skills', 'Data Engineering', 'Polski (NATIVE)', 'Angielski (B2)'];['Azure', 'AWS', 'Google Cloud Platform', 'Airflow', 'Spark', 'Snowflake', 'DBT', 'BigQuery', 'Azure Data Factory', 'ETL', 'Databricks', 'Docker', 'Container'];Praca zdalna;data engineer;14000;21000;PLN;
